Numéro de station OMM,Date et heure d'observation,Direction du vent (degrés),Vitesse du vent moyen 10mn,Humidité relative (%),Visibilité horizontale (m),Nebulosité totale,Hauteur base nuages (m),Pression au niveau station,Rafale 10 dernières minutes,Précipitations 24h (mm),Nom de la station,Température (°C),T° min 24h (°C),T° max 24h (°C),Latitude,Longitude,Altitude (m),Libellé géographique,Nom département,Code département,Nom région,Code région,Mois de l'année,distance_km_poitiers
07335,2024-12-01T12:00:00+00:00,190.0,6.3,86.0,19040.0,0,2250.0,100740.0,9.1,0.2,POITIERS-BIARD,13.100000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-04T12:00:00+00:00,190.0,1.6,81.0,16010.0,0,450.0,101520.0,2.9,0.0,POITIERS-BIARD,9.300000000000011,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-09T03:00:00+00:00,20.0,7.0,87.0,49770.0,0,450.0,100290.0,11.3,1.4,POITIERS-BIARD,6.7000000000000455,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-11T18:00:00+00:00,60.0,2.8,82.0,38800.0,0,800.0,101140.0,4.6,0.2,POITIERS-BIARD,3.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-14T09:00:00+00:00,320.0,3.3,97.0,4640.0,10,150.0,101140.0,4.8,0.2,POITIERS-BIARD,2.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-07T18:00:00+00:00,260.0,7.7,70.0,59650.0,0,1250.0,99760.0,13.4,5.0,POITIERS-BIARD,7.300000000000011,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-08T09:00:00+00:00,320.0,8.2,84.0,60000.0,0,800.0,99970.0,12.6,0.6,POITIERS-BIARD,7.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-12T21:00:00+00:00,90.0,3.8,88.0,10380.0,0,250.0,101120.0,6.5,0.0,POITIERS-BIARD,1.400000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-03T06:00:00+00:00,290.0,1.7,90.0,56050.0,0,1250.0,100870.0,2.5,4.0,POITIERS-BIARD,6.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-03T12:00:00+00:00,300.0,2.3,69.0,60000.0,0,800.0,100890.0,4.6,0.0,POITIERS-BIARD,9.800000000000011,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-04T03:00:00+00:00,290.0,2.6,97.0,9580.0,0,,101120.0,3.2,0.0,POITIERS-BIARD,0.7000000000000455,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-07T03:00:00+00:00,230.0,8.8,95.0,12930.0,0,250.0,99930.0,12.0,0.2,POITIERS-BIARD,12.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-15T21:00:00+00:00,230.0,4.8,96.0,13140.0,0,800.0,102530.0,6.3,0.0,POITIERS-BIARD,7.100000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-01T00:00:00+00:00,130.0,2.2,100.0,390.0,45,30.0,100950.0,3.9,0.2,POITIERS-BIARD,6.7000000000000455,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-03T03:00:00+00:00,280.0,2.2,90.0,57560.0,0,1750.0,100890.0,3.5,4.0,POITIERS-BIARD,6.400000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-12T09:00:00+00:00,50.0,3.1,92.0,9100.0,0,,101320.0,4.8,0.0,POITIERS-BIARD,0.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-12T15:00:00+00:00,20.0,1.4,82.0,13700.0,0,,101130.0,2.7,0.0,POITIERS-BIARD,4.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-13T12:00:00+00:00,70.0,2.1,95.0,5990.0,0,80.0,100950.0,3.9,0.0,POITIERS-BIARD,2.1000000000000227,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-15T09:00:00+00:00,210.0,1.9,99.0,4990.0,10,1750.0,102160.0,2.7,-0.1,POITIERS-BIARD,1.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-13T00:00:00+00:00,80.0,3.0,88.0,10850.0,0,250.0,101090.0,5.8,0.0,POITIERS-BIARD,1.3000000000000114,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-09T00:00:00+00:00,350.0,6.4,93.0,15990.0,61,450.0,100110.0,9.4,1.2,POITIERS-BIARD,6.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2024-12-02T09:00:00+00:00,260.0,2.6,96.0,18670.0,0,1250.0,100640.0,3.9,4.2,POITIERS-BIARD,12.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
