Numéro de station OMM,Date et heure d'observation,Direction du vent (degrés),Vitesse du vent moyen 10mn,Humidité relative (%),Visibilité horizontale (m),Nebulosité totale,Hauteur base nuages (m),Pression au niveau station,Rafale 10 dernières minutes,Précipitations 24h (mm),Nom de la station,Température (°C),T° min 24h (°C),T° max 24h (°C),Latitude,Longitude,Altitude (m),Libellé géographique,Nom département,Code département,Nom région,Code région,Mois de l'année,distance_km_poitiers
07335,2025-04-05T12:00:00+00:00,150.0,2.8,45.0,60000.0,0,,99870.0,5.6,0.0,POITIERS-BIARD,20.400000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-05T15:00:00+00:00,160.0,1.9,42.0,43430.0,0,,99820.0,4.4,0.0,POITIERS-BIARD,22.30000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-05T21:00:00+00:00,300.0,2.5,74.0,60000.0,0,,99950.0,3.3,0.0,POITIERS-BIARD,14.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-08T09:00:00+00:00,30.0,2.3,53.0,19180.0,0,,100960.0,3.8,0.0,POITIERS-BIARD,13.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-09T12:00:00+00:00,20.0,6.4,38.0,19660.0,0,,100660.0,11.1,0.0,POITIERS-BIARD,18.200000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-10T21:00:00+00:00,40.0,5.3,57.0,60000.0,0,,100810.0,8.1,0.0,POITIERS-BIARD,13.100000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-15T18:00:00+00:00,240.0,7.1,66.0,18300.0,0,800.0,98940.0,10.3,4.8,POITIERS-BIARD,11.400000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-10T03:00:00+00:00,40.0,3.3,70.0,19680.0,0,,100960.0,5.3,0.0,POITIERS-BIARD,8.800000000000011,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-13T09:00:00+00:00,250.0,4.6,80.0,19860.0,0,800.0,99680.0,6.7,5.7,POITIERS-BIARD,12.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-13T18:00:00+00:00,270.0,3.1,63.0,59200.0,0,7020.0,99610.0,6.1,0.2,POITIERS-BIARD,13.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-02T12:00:00+00:00,100.0,5.9,74.0,16810.0,61,800.0,99610.0,11.3,0.4,POITIERS-BIARD,11.100000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-03T15:00:00+00:00,170.0,3.4,55.0,56300.0,0,1750.0,100180.0,5.8,0.2,POITIERS-BIARD,17.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-09T21:00:00+00:00,20.0,3.4,62.0,60000.0,0,,100830.0,5.1,0.0,POITIERS-BIARD,9.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-11T00:00:00+00:00,40.0,3.4,68.0,60000.0,0,,100840.0,5.1,0.0,POITIERS-BIARD,9.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-11T09:00:00+00:00,70.0,2.0,60.0,40530.0,0,,100550.0,3.4,0.0,POITIERS-BIARD,14.700000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-05T00:00:00+00:00,190.0,0.9,64.0,60000.0,0,4260.0,99670.0,1.1,0.0,POITIERS-BIARD,12.400000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-15T06:00:00+00:00,190.0,5.8,95.0,51110.0,0,450.0,98330.0,8.4,4.8,POITIERS-BIARD,10.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-05T03:00:00+00:00,170.0,4.3,49.0,60000.0,0,,99620.0,6.6,0.0,POITIERS-BIARD,14.800000000000011,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-14T12:00:00+00:00,190.0,3.4,65.0,54590.0,0,2880.0,99140.0,5.2,0.0,POITIERS-BIARD,14.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-02T00:00:00+00:00,40.0,6.9,60.0,60000.0,0,,99750.0,10.9,0.0,POITIERS-BIARD,8.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-04T18:00:00+00:00,120.0,0.6,46.0,60000.0,0,3600.0,99650.0,1.1,-0.1,POITIERS-BIARD,19.200000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
07335,2025-04-10T09:00:00+00:00,60.0,4.5,57.0,19710.0,0,,101130.0,7.4,0.0,POITIERS-BIARD,13.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,4,2.500087253165825
